gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
0.2,0.01,0.1,0.9,0.8059701492537313,0.8503937007874016
0.2,0.01,0.3,0.9,0.8059701492537313,0.8503937007874016
0.2,0.01,0.5,0.8666666666666667,0.7536231884057971,0.8062015503875969
0.2,0.01,0.7,0.8166666666666667,0.6901408450704225,0.748091603053435
0.2,0.01,0.9,0.7833333333333333,0.6714285714285714,0.7230769230769231
0.2,0.05,0.1,0.9,0.8059701492537313,0.8503937007874016
0.2,0.05,0.3,0.9,0.8059701492537313,0.8503937007874016
0.2,0.05,0.5,0.8666666666666667,0.7536231884057971,0.8062015503875969
0.2,0.05,0.7,0.8166666666666667,0.6901408450704225,0.748091603053435
0.2,0.05,0.9,0.7833333333333333,0.6714285714285714,0.7230769230769231
0.2,0.058823529411764705,0.1,0.9,0.8059701492537313,0.8503937007874016
0.2,0.058823529411764705,0.3,0.9,0.8059701492537313,0.8503937007874016
0.2,0.058823529411764705,0.5,0.8666666666666667,0.7536231884057971,0.8062015503875969
0.2,0.058823529411764705,0.7,0.8166666666666667,0.6901408450704225,0.748091603053435
0.2,0.058823529411764705,0.9,0.7833333333333333,0.6714285714285714,0.7230769230769231
0.2,0.1,0.1,0.9,0.8059701492537313,0.8503937007874016
0.2,0.1,0.3,0.9,0.8059701492537313,0.8503937007874016
0.2,0.1,0.5,0.8666666666666667,0.7536231884057971,0.8062015503875969
0.2,0.1,0.7,0.8166666666666667,0.6901408450704225,0.748091603053435
0.2,0.1,0.9,0.7833333333333333,0.6714285714285714,0.7230769230769231
0.2,0.1111111111111111,0.1,0.9,0.8059701492537313,0.8503937007874016
0.2,0.1111111111111111,0.3,0.9,0.8059701492537313,0.8503937007874016
0.2,0.1111111111111111,0.5,0.8666666666666667,0.7536231884057971,0.8062015503875969
0.2,0.1111111111111111,0.7,0.8166666666666667,0.6901408450704225,0.748091603053435
0.2,0.1111111111111111,0.9,0.7833333333333333,0.6714285714285714,0.7230769230769231
0.2,0.2,0.1,0.9,0.8059701492537313,0.8503937007874016
0.2,0.2,0.3,0.9,0.8059701492537313,0.8503937007874016
