gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
5,6,0.04,0.753623188,0.753623188,0.753623188
7,6,0.02,0.753623188,0.753623188,0.753623188
10,2.5,0.02,0.753623188,0.753623188,0.753623188
10,3,0.02,0.753623188,0.753623188,0.753623188
10,3,0.05,0.753623188,0.753623188,0.753623188
10,3.5,0.05,0.753623188,0.753623188,0.753623188
2,2.5,0.233,0.68115942,0.839285714,0.752
2.5,4,0.01,0.724637681,0.78125,0.751879699
2.5,4,0.02,0.724637681,0.78125,0.751879699
2.5,4.5,0.01,0.724637681,0.78125,0.751879699
2.5,4.5,0.02,0.724637681,0.78125,0.751879699
3.5,3.5,0.1,0.724637681,0.78125,0.751879699
4,2.5,0.04,0.724637681,0.78125,0.751879699
4,3,0.1,0.724637681,0.78125,0.751879699
3,8,0.05,0.768115942,0.736111111,0.75177305
3,10,0.04,0.768115942,0.736111111,0.75177305
3.5,7,0.05,0.768115942,0.736111111,0.75177305
4,8,0.04,0.768115942,0.736111111,0.75177305
2,3.5,0.1,0.695652174,0.813559322,0.75
2.5,6,0.04,0.739130435,0.76119403,0.75
2.5,6,0.05,0.739130435,0.76119403,0.75
3,1.5,0.166,0.695652174,0.813559322,0.75
3,1.5,0.2,0.695652174,0.813559322,0.75
3,1.5,0.233,0.695652174,0.813559322,0.75
3,1.5,0.4,0.695652174,0.813559322,0.75
3,1.5,0.45,0.695652174,0.813559322,0.75
3,1.5,0.266,0.695652174,0.813559322,0.75
3,1.5,0.3,0.695652174,0.813559322,0.75
3,1.5,0.35,0.695652174,0.813559322,0.75
3,1.5,0.5,0.695652174,0.813559322,0.75
3,1.5,0.6,0.695652174,0.813559322,0.75
3,1.5,0.75,0.695652174,0.813559322,0.75
3,1.5,1,0.695652174,0.813559322,0.75
3,1.5,2,0.695652174,0.813559322,0.75
3,1.5,5,0.695652174,0.813559322,0.75
3,2,0.133,0.695652174,0.813559322,0.75
3,7,0.02,0.739130435,0.76119403,0.75
3,8,0.02,0.739130435,0.76119403,0.75
3,15,0.01,0.739130435,0.76119403,0.75
3.5,5,0.05,0.739130435,0.76119403,0.75
3.5,8,0.02,0.739130435,0.76119403,0.75
4,7,0.02,0.739130435,0.76119403,0.75
4,15,0.01,0.739130435,0.76119403,0.75
4.5,4,0.05,0.739130435,0.76119403,0.75
5,4.5,0.04,0.739130435,0.76119403,0.75
6,4,0.04,0.739130435,0.76119403,0.75
6,4.5,0.05,0.739130435,0.76119403,0.75
15,4,0.02,0.782608696,0.72,0.75
15,4.5,0.02,0.782608696,0.72,0.75
20,3.5,0.01,0.782608696,0.72,0.75
20,3.5,0.02,0.782608696,0.72,0.75
2.5,6,0.075,0.753623188,0.742857143,0.748201439
3,7,0.05,0.753623188,0.742857143,0.748201439
3,7,0.04,0.753623188,0.742857143,0.748201439
3,8,0.04,0.753623188,0.742857143,0.748201439
3,10,0.02,0.753623188,0.742857143,0.748201439
3,15,0.02,0.753623188,0.742857143,0.748201439
3.5,7,0.04,0.753623188,0.742857143,0.748201439
3.5,8,0.04,0.753623188,0.742857143,0.748201439
3.5,15,0.02,0.753623188,0.742857143,0.748201439
4,7,0.04,0.753623188,0.742857143,0.748201439
4,8,0.02,0.753623188,0.742857143,0.748201439
4,15,0.02,0.753623188,0.742857143,0.748201439
2,4,0.1,0.710144928,0.790322581,0.748091603
2,4.5,0.1,0.710144928,0.790322581,0.748091603
2.5,2.5,0.166,0.710144928,0.790322581,0.748091603
4.5,7,0.04,0.768115942,0.726027397,0.746478873
4.5,15,0.02,0.768115942,0.726027397,0.746478873
7,10,0.02,0.768115942,0.726027397,0.746478873
10,6,0.02,0.768115942,0.726027397,0.746478873
10,7,0.02,0.768115942,0.726027397,0.746478873
10,8,0.01,0.768115942,0.726027397,0.746478873
10,10,0.01,0.768115942,0.726027397,0.746478873
10,15,0.01,0.768115942,0.726027397,0.746478873
15,2.5,0.04,0.768115942,0.726027397,0.746478873
15,3,0.04,0.768115942,0.726027397,0.746478873
2.5,4,0.04,0.724637681,0.769230769,0.746268657
2.5,4,0.05,0.724637681,0.769230769,0.746268657
2.5,4.5,0.04,0.724637681,0.769230769,0.746268657
3,4,0.01,0.724637681,0.769230769,0.746268657
3,4,0.02,0.724637681,0.769230769,0.746268657
3,4.5,0.02,0.724637681,0.769230769,0.746268657
3,4.5,0.01,0.724637681,0.769230769,0.746268657
5,2.5,0.1,0.724637681,0.769230769,0.746268657
5,3.5,0.075,0.724637681,0.769230769,0.746268657
6,3,0.075,0.724637681,0.769230769,0.746268657
7,2.5,0.075,0.724637681,0.769230769,0.746268657
8,3.5,0.05,0.724637681,0.769230769,0.746268657
15,5,0.01,0.782608696,0.710526316,0.744827586
15,6,0.01,0.782608696,0.710526316,0.744827586
2,20,0.02,0.739130435,0.75,0.744525547
3,6,0.05,0.739130435,0.75,0.744525547
3.5,6,0.04,0.739130435,0.75,0.744525547
4,6,0.04,0.739130435,0.75,0.744525547
4.5,5,0.04,0.739130435,0.75,0.744525547
4.5,6,0.02,0.739130435,0.75,0.744525547
5,5,0.04,0.739130435,0.75,0.744525547
6,4.5,0.02,0.739130435,0.75,0.744525547
7,4,0.02,0.739130435,0.75,0.744525547
7,4.5,0.02,0.739130435,0.75,0.744525547
7,5,0.04,0.739130435,0.75,0.744525547
8,4,0.02,0.739130435,0.75,0.744525547
3.5,1.5,0.133,0.695652174,0.8,0.744186047
3.5,1.5,0.2,0.695652174,0.8,0.744186047
3.5,1.5,0.233,0.695652174,0.8,0.744186047
3.5,1.5,0.166,0.695652174,0.8,0.744186047
3.5,1.5,0.3,0.695652174,0.8,0.744186047
3.5,1.5,0.266,0.695652174,0.8,0.744186047
3.5,1.5,0.35,0.695652174,0.8,0.744186047
3.5,1.5,0.45,0.695652174,0.8,0.744186047
3.5,1.5,0.4,0.695652174,0.8,0.744186047
3.5,1.5,0.6,0.695652174,0.8,0.744186047
3.5,1.5,0.5,0.695652174,0.8,0.744186047
3.5,1.5,2,0.695652174,0.8,0.744186047
3.5,1.5,1,0.695652174,0.8,0.744186047
3.5,1.5,0.75,0.695652174,0.8,0.744186047
3.5,1.5,5,0.695652174,0.8,0.744186047
3.5,2,0.133,0.695652174,0.8,0.744186047
1.5,2.5,0.2,0.652173913,0.865384615,0.743801653
4.5,7,0.02,0.753623188,0.732394366,0.742857143
4.5,10,0.02,0.753623188,0.732394366,0.742857143
4.5,15,0.01,0.753623188,0.732394366,0.742857143
5,10,0.02,0.753623188,0.732394366,0.742857143
6,8,0.02,0.753623188,0.732394366,0.742857143
6,10,0.02,0.753623188,0.732394366,0.742857143
7,7,0.02,0.753623188,0.732394366,0.742857143
