gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
15,2.5,0.45,0.651162791,0.8,0.717948718
15,2.5,0.5,0.651162791,0.8,0.717948718
15,2.5,0.6,0.651162791,0.8,0.717948718
15,2.5,0.75,0.651162791,0.8,0.717948718
15,2.5,1,0.651162791,0.8,0.717948718
15,2.5,2,0.651162791,0.8,0.717948718
15,2.5,5,0.651162791,0.8,0.717948718
8,1,0.01,0.581395349,0.925925926,0.714285714
8,1,0.04,0.581395349,0.925925926,0.714285714
8,1,0.02,0.581395349,0.925925926,0.714285714
8,1,0.05,0.581395349,0.925925926,0.714285714
8,1,0.075,0.581395349,0.925925926,0.714285714
8,1,0.1,0.581395349,0.925925926,0.714285714
8,1,0.133,0.581395349,0.925925926,0.714285714
8,1,0.166,0.581395349,0.925925926,0.714285714
8,1,0.233,0.581395349,0.925925926,0.714285714
8,1,0.266,0.581395349,0.925925926,0.714285714
8,1,0.3,0.581395349,0.925925926,0.714285714
8,1,0.2,0.581395349,0.925925926,0.714285714
8,1,0.35,0.581395349,0.925925926,0.714285714
8,1,0.5,0.581395349,0.925925926,0.714285714
8,1,0.45,0.581395349,0.925925926,0.714285714
8,1,0.6,0.581395349,0.925925926,0.714285714
8,1,0.4,0.581395349,0.925925926,0.714285714
8,1,0.75,0.581395349,0.925925926,0.714285714
8,1,1,0.581395349,0.925925926,0.714285714
8,1,5,0.581395349,0.925925926,0.714285714
8,1,2,0.581395349,0.925925926,0.714285714
8,3,0.01,0.604651163,0.866666667,0.712328767
8,3,0.02,0.604651163,0.866666667,0.712328767
8,3,0.04,0.604651163,0.866666667,0.712328767
8,3,0.05,0.604651163,0.866666667,0.712328767
8,3,0.1,0.604651163,0.866666667,0.712328767
8,3,0.075,0.604651163,0.866666667,0.712328767
8,3,0.133,0.604651163,0.866666667,0.712328767
8,3,0.166,0.604651163,0.866666667,0.712328767
8,3,0.2,0.604651163,0.866666667,0.712328767
8,3,0.233,0.604651163,0.866666667,0.712328767
8,3,0.266,0.604651163,0.866666667,0.712328767
8,3,0.3,0.604651163,0.866666667,0.712328767
8,3,0.45,0.604651163,0.866666667,0.712328767
8,3,0.5,0.604651163,0.866666667,0.712328767
8,3,0.4,0.604651163,0.866666667,0.712328767
8,3,0.35,0.604651163,0.866666667,0.712328767
8,3,0.6,0.604651163,0.866666667,0.712328767
8,3,0.75,0.604651163,0.866666667,0.712328767
8,3,2,0.604651163,0.866666667,0.712328767
8,3,1,0.604651163,0.866666667,0.712328767
8,3,5,0.604651163,0.866666667,0.712328767
8,3.5,0.01,0.604651163,0.866666667,0.712328767
8,3.5,0.02,0.604651163,0.866666667,0.712328767
8,3.5,0.04,0.604651163,0.866666667,0.712328767
8,3.5,0.05,0.604651163,0.866666667,0.712328767
8,3.5,0.075,0.604651163,0.866666667,0.712328767
8,3.5,0.133,0.604651163,0.866666667,0.712328767
8,3.5,0.1,0.604651163,0.866666667,0.712328767
8,3.5,0.166,0.604651163,0.866666667,0.712328767
8,3.5,0.2,0.604651163,0.866666667,0.712328767
8,3.5,0.266,0.604651163,0.866666667,0.712328767
8,3.5,0.233,0.604651163,0.866666667,0.712328767
8,3.5,0.3,0.604651163,0.866666667,0.712328767
8,3.5,0.35,0.604651163,0.866666667,0.712328767
8,3.5,0.4,0.604651163,0.866666667,0.712328767
8,3.5,0.45,0.604651163,0.866666667,0.712328767
8,3.5,0.75,0.604651163,0.866666667,0.712328767
8,3.5,0.6,0.604651163,0.866666667,0.712328767
8,3.5,0.5,0.604651163,0.866666667,0.712328767
8,3.5,1,0.604651163,0.866666667,0.712328767
8,3.5,5,0.604651163,0.866666667,0.712328767
8,3.5,2,0.604651163,0.866666667,0.712328767
8,4,0.02,0.604651163,0.866666667,0.712328767
8,4,0.01,0.604651163,0.866666667,0.712328767
8,4,0.05,0.604651163,0.866666667,0.712328767
